
HandleMoveInputUnused,$8057FBC,0x17C
DrawSpindaSpotsUnused,$806D544,0x11E
AnimUnusedIceCrystalThrow,$810B6C4,0x184
AnimUnusedItemBagSteal,$815FE80,0x142
AnimTask_UnusedLevelUpHealthBox,$8170478,0x1E8
AnimTask_UnusedLevelUpHealthBox_Step,$8170660,0x1D4
UnusedBlitBitmapRect,$819A080,0x1DA
sUnusedFRLGBlankedDownArrow,$82E980C,0x400
sUnusedFRLGDownArrow,$82E9C0C,0x100
sUnusedAnimsTable,$8300658,0x6E0
sUnused,$830AF4C,0x6E0
gTilesetPalettes_Unused1,$8356920,0x200
gTilesetTiles_Unused2,$8374488,0x528
gTilesetPalettes_Unused2,$83749B0,0x200
gMetatiles_Unused2,$83C4032,0x3A0
sDoorAnimTiles_UnusedBattleFrontier,$849358C,0x300
gObjectEventPic_UnusedWoman,$84C0438,0x900
gUnusedGrass3,$84F79B8,0x200
gFieldEffectObjectPic_UnusedGrass2,$84F8338,0x200
gFieldEffectObjectPic_UnusedSand,$84F8EB8,0x200
gTilesetAnims_Unused1_Frame0,$851E2C4,0x800
gTilesetAnims_Unused1_Frame1,$851EAC4,0x800
gTilesetAnims_Unused1_Frame2,$851F2C4,0x800
gTilesetAnims_Unused1_Frame3,$851FAC4,0x800
sUnusedBirchBeauty,$8554290,0x66C0
sWallpaperTilemap_Unused,$85773C4,0x1B0
sCherryUnused,$857F604,0x480
sUnusedWater_Gfx,$8593C7C,0x380
sUnusedWater,$8593FFC,0x1000
sUnusedPal2,$85B53E4,0x160
sUnusedPal3,$85B5544,0x1A0
sUnusedPal4,$85B56E4,0x1A0
sUnusedBrendan_Gfx,$85B9CD0,0x800
sUnusedLass_Gfx,$85BA4D0,0x800
sUnused,$85F3490,0x1E0
gUnusedGfx_OldCharmap,$8C00C10,0x7D8
gUnusedTimemap_OldCharmap,$8C013E8,0x234
gBattleInterfaceGfx_UnusedWindow1,$8C08F0C,0x4BC
gBattleInterfaceGfx_UnusedWindow2,$8C09A28,0x29C
gUnusedTilemap_BlueFrame,$8C10B04,0x118
gUnusedTilemap_RedYellowGreenFrame,$8C10C1C,0x400
gUnusedGfx_ColorFrames,$8C1101C,0x5A0
gBattleAnimUnusedGfx_WaterSplash,$8C11714,0x188
gUnusedTilemap_BasicFrame,$8C11A90,0x10C
gBattleInterfaceGfx_UnusedWindow3,$8C12A9C,0x13C
gBattleInterfaceGfx_UnusedWindow4,$8C12BD8,0x2B0
gBattleAnimUnusedTilemap_Lights,$8C1BD3C,0x104
gUnusedGfx_Goosuto,$8C1D384,0x110
gUnusedTilemap_Goosuto,$8C1D4AC,0x150
UnusedLevelupAnimationTilemap,$8C2EA9C,0x108
sEmpty,$8D3CFF8,0x6800
gMonUnusedGarbage,$8D437F8,0x400
gIntroUnused1_Tilemap,$8D8C374,0x250
gIntroUnused2_Tilemap,$8D8C5C4,0x274
sEmpty0,$8DC9E68,0x120
sEmpty1,$8DCA988,0x200
sEmpty2,$8DCB388,0x2C0
